url,main language,stars,owner,project,branch
https://github.com/JakeWharton/timber,Kotlin,10.3k,JakeWharton,timber,trunk
https://github.com/Shabinder/SpotiFlyer,Kotlin,10k,Shabinder,SpotiFlyer,main
https://github.com/square/moshi,Kotlin,9.5k,square,moshi,master
https://github.com/thunderbird/thunderbird-android,Kotlin,9.5k,thunderbird,thunderbird-android,main
https://github.com/MatsuriDayo/NekoBoxForAndroid,Kotlin,9k,MatsuriDayo,NekoBoxForAndroid,main
https://github.com/square/okio,Kotlin,8.7k,square,okio,master
https://github.com/AFNetworking/AFNetworking,Objective-C,33.3k,AFNetworking,AFNetworking,master
https://github.com/SDWebImage/SDWebImage,Objective-C,24.9k,SDWebImage,SDWebImage,master
https://github.com/MustangYM/WeChatExtension-ForMac,Objective-C,22.1k,MustangYM,WeChatExtension-ForMac,master
https://github.com/BradLarson/GPUImage,Objective-C,20.2k,BradLarson,GPUImage,master
https://github.com/SnapKit/Masonry,Objective-C,18k,SnapKit,Masonry,master
https://github.com/opa334/TrollStore,Objective-C,16.4k,opa334,TrollStore,main
https://github.com/realm/realm-swift,Objective-C,16.2k,realm,realm-swift,master
https://github.com/jdg/MBProgressHUD,Objective-C,16k,jdg,MBProgressHUD,master
https://github.com/react-native-maps/react-native-maps,Objective-C,14.8k,react-native-maps,react-native-maps,master
https://github.com/gnachman/iTerm2,Objective-C,14.6k,gnachman,iTerm2,master
https://github.com/marcuswestin/WebViewJavascriptBridge,Objective-C,14.3k,marcuswestin,WebViewJavascriptBridge,master
https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,Objective-C,14k,TKkk-iOSer,WeChatPlugin-MacOS,master
https://github.com/FLEXTool/FLEX,Objective-C,13.9k,FLEXTool,FLEX,master
https://github.com/ccgus/fmdb,Objective-C,13.8k,ccgus,fmdb,master
https://github.com/CoderMJLee/MJRefresh,Objective-C,13.8k,CoderMJLee,MJRefresh,master
https://github.com/eczarny/spectacle,Objective-C,13.6k,eczarny,spectacle,master
https://github.com/CocoaLumberjack/CocoaLumberjack,Objective-C,13.1k,CocoaLumberjack,CocoaLumberjack,master
https://github.com/Instagram/IGListKit,Objective-C,12.8k,Instagram,IGListKit,main
https://github.com/vicc/chameleon,Objective-C,12.5k,vicc,chameleon,master
https://github.com/robbiehanson/CocoaAsyncSocket,Objective-C,12.4k,robbiehanson,CocoaAsyncSocket,master
https://github.com/SVProgressHUD/SVProgressHUD,Objective-C,12.4k,SVProgressHUD,SVProgressHUD,master
https://github.com/dzenbot/DZNEmptyDataSet,Objective-C,12.1k,dzenbot,DZNEmptyDataSet,master
https://github.com/nicklockwood/iCarousel,Objective-C,12k,nicklockwood,iCarousel,master
https://github.com/keycastr/keycastr,Objective-C,12k,keycastr,keycastr,main
https://github.com/Hammerspoon/hammerspoon,Objective-C,11.5k,Hammerspoon,hammerspoon,master
https://github.com/git-up/GitUp,Objective-C,11.4k,git-up,GitUp,master
https://github.com/bang590/JSPatch,Objective-C,11.4k,bang590,JSPatch,master
https://github.com/Mantle/Mantle,Objective-C,11.3k,Mantle,Mantle,master
https://github.com/jessesquires/JSQMessagesViewController,Objective-C,11.2k,jessesquires,JSQMessagesViewController,develop
https://github.com/darlinghq/darling,Objective-C,11.1k,darlinghq,darling,master
https://github.com/laravel/laravel,PHP,77k,laravel,laravel,11.x
https://github.com/laravel/framework,PHP,31.6k,laravel,framework,11.x
https://github.com/blueimp/jQuery-File-Upload,PHP,31k,blueimp,jQuery-File-Upload,master
https://github.com/symfony/symfony,PHP,29.4k,symfony,symfony,7.3
https://github.com/composer/composer,PHP,28.3k,composer,composer,main
https://github.com/fzaninotto/Faker,PHP,26.8k,fzaninotto,Faker,master
https://github.com/nextcloud/server,PHP,25.8k,nextcloud,server,master
https://github.com/guzzle/guzzle,PHP,23k,guzzle,guzzle,7.9
https://github.com/livewire/livewire,PHP,21.8k,livewire,livewire,main
https://github.com/monicahq/monica,PHP,20.8k,monicahq,monica,main
https://github.com/Seldaek/monolog,PHP,20.8k,Seldaek,monolog,main
